test_name,tcp_flavor,time_iter,bits_per_second,rtt_ms,cwnd_size_bytes
amsterdam_lan_noload,bbr,35,328200688.5394762,67.246,6782432
amsterdam_lan_noload,bbr,36,341835776,67.309,6753472
amsterdam_lan_noload,bbr,37,324925004.8956394,67.182,6458080
amsterdam_lan_noload,bbr,38,333447843.7513695,67.227,6423328
amsterdam_lan_noload,bbr,39,334489045.13415927,67.298,6379888
amsterdam_lan_noload,bbr,40,336598954.98406535,67.219,6411744
amsterdam_lan_noload,bbr,41,246411159.44660655,67.879,6460976
amsterdam_lan_noload,bbr,42,314700257.8721667,67.267,6672384
amsterdam_lan_noload,bbr,43,339604824.2153359,67.178,6683968
amsterdam_lan_noload,bbr,44,338694792.12895143,67.194,6646320
amsterdam_lan_noload,bbr,45,330298486.9014028,67.331,6521792
amsterdam_lan_noload,bbr,46,331351675.0083063,67.308,6652112
amsterdam_lan_noload,bbr,47,331349344.50136083,67.188,6527584
amsterdam_lan_noload,bbr,48,330302109.37635654,67.19,6776640
amsterdam_lan_noload,bbr,49,336590889.7619581,67.29,6440704
amsterdam_lan_noload,bbr,50,334499432.4781723,67.293,6429120
amsterdam_lan_noload,bbr,51,323951979.6358179,67.219,6414640
amsterdam_lan_noload,bbr,52,335601029.5827381,67.195,6417536
amsterdam_lan_noload,bbr,53,325188967.29594034,67.309,6405952
amsterdam_lan_noload,bbr,54,338558355.6006979,67.18,6628944
amsterdam_lan_noload,bbr,55,324083871.157868,67.255,6414640
amsterdam_lan_noload,bbr,56,335465138.6895126,67.304,6516000
amsterdam_lan_noload,bbr,57,243372335.34090075,67.23,6043952
amsterdam_lan_noload,bbr,58,340785493.7585428,67.305,6579712
amsterdam_lan_noload,bbr,59,325842534.3707269,67.211,6516000
amsterdam_lan_noload,cubic,0,154034225.68539116,68.45,5256240
amsterdam_lan_noload,cubic,1,349178243.0794816,68.399,6284320
amsterdam_lan_noload,cubic,2,349110177.7130378,68.386,6284320
amsterdam_lan_noload,cubic,3,334748483.13358766,68.389,6284320
amsterdam_lan_noload,cubic,4,351081988.2544607,68.457,6284320
amsterdam_lan_noload,cubic,5,347050564.64880127,68.51,6287216
amsterdam_lan_noload,cubic,6,345769040.8221618,67.749,6287216
amsterdam_lan_noload,cubic,7,370426253.5894181,68.417,6287216
